Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53086262,"Harrow the Ninth (The Locked Tomb, #2)",Tamsyn Muir,"Muir, Tamsyn",,"=""""","=""""",5,4.29,Tordotcom,Kindle Edition,538,2020,2020,2022/10/31,2022/10/31,,,read,,,,1,0
58875681,"Witches Abroad (Discworld, #12)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",4,4.23,HarperCollins e-books,Kindle Edition,305,2009,1991,2022/10/28,2022/10/28,,,read,,,,1,0
55710230,"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,"Muir, Tamsyn",,"=""""","=""""",4,4.23,Tordotcom,Kindle Edition,479,2019,2019,2022/10/27,2022/10/27,,,read,,,,1,0
19036023,"Bleak Seasons (The Chronicles of the Black Company, #6)",Glen Cook,"Cook, Glen",,"=""""","=""""",4,3.94,Tor Fantasy,Kindle Edition,351,1997,1996,2017/05/28,2017/05/27,,,read,,,,2,0
16072294,The Penultimate Truth,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",3,3.78,Houghton Mifflin Harcourt,Kindle Edition,259,2012,1964,2022/10/14,2022/10/14,,,read,,,,1,0
37653062,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""""","=""""",3,4.07,Vintage ,Kindle Edition,354,2014,2014,2022/10/02,2022/10/02,,,read,,,,1,0
25295920,"Ways to Die in Glasgow (Sam Ireland Mysteries, #1)",Jay Stringer,"Stringer, Jay",,"=""""","=""""",3,3.85,Thomas & Mercer,Kindle Edition,279,2015,2015,2022/10/01,2022/03/01,,,read,,,,1,0
39873472,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""""","=""""",4,4.13,Tor Books,Kindle Edition,454,2019,2019,2022/09/25,2022/02/27,,,read,,,,1,0
9827912,Incognito: The Secret Lives of the Brain,David Eagleman,"Eagleman, David",,"=""0307377334""","=""9780307377333""",2,4.08,Pantheon,Hardcover,290,2011,2011,,2022/09/18,,,read,,,,1,0
25983487,Garfield Vol. 1,Jim Davis,"Davis, Jim","Mark Evanier, Gary Barker","=""""","=""""",5,4.39,BOOM! - KaBOOM!,Kindle Edition,112,2012,2012,,2022/07/24,,,read,,,,1,0
9303705,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,"Scalzi, John",,"=""""","=""""",3,4.11,Macmillan,Kindle Edition,356,2010,2006,2022/09/08,2022/09/08,,,read,,,,1,0
8119976,"Midnight Tides (Malazan Book of the Fallen, #5)",Steven Erikson,"Erikson, Steven",,"=""""","=""""",4,4.40,Tor Books,Kindle Edition,628,2007,2004,2022/08/29,2022/07/30,,,read,,,,1,0
45428188,"A Hat Full of Sky (Discworld, #32)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",5,4.31,HarperCollins,Kindle Edition,298,2009,2004,2022/08/26,2022/08/26,,,read,,,,1,0
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",4,3.97,Penguin,Hardcover,534,2012,2012,,2022/08/22,,,read,,,,1,0
26597346,The Serengeti Rules: The Quest to Discover How Life Works and Why It Matters,Sean B. Carroll,"Carroll, Sean B.",,"=""0691167427""","=""9780691167428""",5,4.09,Princeton University Press,Hardcover,280,2016,2016,,2022/08/13,,,read,,,,1,0
